,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
3332,42.0,1.0,15.0,6.0,14.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,89634.0,1.0,2.0,0.0,5.0,2.0,3.0,5.0,3.0,3.0,0.0,4.0,1.0,4.0,5.0,0.0,1.0,2.0,2.0,2.0,6
3333,37.0,1.0,3.0,6.0,11.0,6.0,1.0,2.0,3.0,5.0,4.0,1.0,2.0,73337.0,1.0,4.0,0.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,5
3334,23.0,0.0,15.0,6.0,12.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2173.0,4.0,4.0,1.0,1.0,6.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,2.0,0.0,3.0,0
3335,33.0,1.0,15.0,6.0,20.0,6.0,2.0,2.0,3.0,5.0,4.0,0.0,1.0,40743.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,4
3336,62.0,1.0,15.0,6.0,13.0,6.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,48891.0,1.0,4.0,0.0,5.0,5.0,2.0,7.0,3.0,0.0,2.0,5.0,5.0,5.0,5.0,0.0,1.0,2.0,2.0,2.0,4
3337,52.0,1.0,15.0,6.0,12.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,12223.0,0.0,0.0,0.0,12.0,5.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1
3338,58.0,0.0,3.0,6.0,18.0,6.0,1.0,1.0,3.0,6.0,5.0,1.0,2.0,108646.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,7
3339,49.0,1.0,3.0,6.0,11.0,1.0,1.0,2.0,3.0,5.0,6.0,0.0,2.0,5976.0,1.0,2.0,0.0,14.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,0
3340,26.0,1.0,3.0,6.0,14.0,6.0,2.0,2.0,3.0,5.0,5.0,1.0,0.0,73337.0,6.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,0.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0,3.0,5
3341,32.0,0.0,15.0,6.0,10.0,6.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,25803.0,1.0,2.0,0.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,2
3342,42.0,1.0,3.0,6.0,12.0,6.0,1.0,2.0,3.0,6.0,1.0,1.0,0.0,35311.0,1.0,5.0,0.0,4.0,6.0,3.0,1.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,3
3343,30.0,0.0,6.0,6.0,12.0,6.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,241797.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,8
3344,45.0,0.0,0.0,6.0,12.0,1.0,0.0,3.0,3.0,6.0,3.0,1.0,0.0,14938.0,3.0,4.0,0.0,4.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1
3345,26.0,1.0,15.0,6.0,15.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,89634.0,5.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,6
3346,68.0,0.0,15.0,6.0,11.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,23088.0,1.0,2.0,0.0,3.0,6.0,3.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,2
3347,57.0,1.0,15.0,6.0,13.0,5.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,25803.0,3.0,2.0,0.0,3.0,5.0,1.0,7.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2
3348,36.0,1.0,15.0,6.0,14.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,48891.0,1.0,3.0,0.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,4
3349,67.0,0.0,15.0,6.0,12.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,73337.0,1.0,0.0,0.0,12.0,5.0,2.0,7.0,2.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,2.0,5
3350,45.0,0.0,15.0,6.0,12.0,6.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,59755.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,5
